"","x"
"1689",2951
"1690",522
"1691",546
"1692",2957
"1693",2931
"1694",2926
"1695",2941
"1696",2920
"1697",2930
"1698",2922
"1699",2955
"1700",2932
"1701",2928
"1702",2943
"1703",2923
"1704",2938
"1705",2958
"1706",2939
"1707",2202
"1708",2188
"1709",2949
"1710",2940
"1711",2953
"1712",2946
"1713",2936
"1714",2950
"1715",2948
"1716",2956
"1717",2934
"1718",2947
"1719",2937
"1720",2942
"1721",2935
"1722",2924
"1723",2933
"1724",2927
"1725",2179
"1726",2208
"1727",2925
"1728",2200
"1729",2954
"1730",2944
"1731",2178
"1732",2203
"1733",2210
"1734",2201
"1735",2195
"1736",2176
"1737",2180
"1738",2182
"1739",165
"1740",2191
"1741",2189
"1742",204
"1743",169
"1744",210
"1745",168
"1746",180
"1747",174
"1748",163
"1749",185
"1750",206
"1751",178
"1752",195
"1753",198
"1754",201
"1755",200
"1756",158
"1757",164
"1758",205
"1759",214
"1760",208
"1761",215
"1762",191
"1763",196
"1764",160
"1765",162
"1766",207
"1767",181
"1768",192
"1769",184
"1770",197
"1771",199
"1772",213
"1773",187
"1774",194
"1775",170
"1776",190
"1777",193
"1778",176
"1779",172
"1780",173
"1781",211
"1782",167
"1783",177
"1784",179
"1785",212
"1786",159
"1787",1716
"1788",183
"1789",1718
"1790",171
"1791",1725
"1792",1724
"1793",1714
"1794",1721
"1795",1719
"1796",1717
"1797",1720
"1798",1726
"1799",1723
"1800",1727
"1801",1730
"1802",166
"1803",188
"1804",186
"1805",203
"1806",189
"1807",1728
"1808",175
"1809",161
"1810",209
"1811",202
"1812",182
"1813",2187
"1814",2193
"1815",2192
"1816",2184
"1817",2194
"1818",2198
"1819",2196
"1820",2177
"1821",2190
"1822",2207
"1823",2183
"1824",2181
"1825",2186
"1826",2209
"1827",2185
"1828",2199
"1829",2204
"1830",2205
"1831",2175
"1832",555
"1833",2197
"1834",531
"1835",518
"1836",554
"1837",537
"1838",541
"1839",559
"1840",544
"1841",533
"1842",2745
"1843",523
"1844",529
"1845",543
"1846",534
"1847",550
"1848",539
"1849",3105
"1850",558
"1851",527
"1852",520
"1853",532
"1854",521
"1855",3103
"1856",3097
"1857",2760
"1858",3106
"1859",2765
"1860",2750
"1861",2748
"1862",3104
"1863",2767
"1864",2753
"1865",2747
"1866",2751
"1867",2771
"1868",2752
"1869",2756
"1870",2770
"1871",76
"1872",1715
"1873",1722
"1874",2754
"1875",2744
"1876",2757
"1877",1729
"1878",2766
"1879",2755
"1880",2759
"1881",2764
"1882",2763
"1883",2769
"1884",2768
"1885",2758
"1886",2761
"1887",2749
"1888",2772
"1889",2746
"1890",538
"1891",553
"1892",556
"1893",551
"1894",549
"1895",524
"1896",530
"1897",536
"1898",525
"1899",540
"1900",561
"1901",560
"1902",519
"1903",2206
"1904",2921
"1905",552
"1906",548
"1907",542
"1908",535
"1909",1595
"1910",1588
"1911",1596
"1912",1584
"1913",1605
"1914",1576
"1915",1611
"1916",547
"1917",1565
"1918",1593
"1919",1580
"1920",1598
"1921",1613
"1922",1618
"1923",1612
"1924",1569
"1925",1620
"1926",3102
"1927",3087
"1928",3100
"1929",3094
"1930",3092
"1931",3107
"1932",3095
"1933",3108
"1934",2344
"1935",2351
"1936",3099
"1937",1703
"1938",3090
"1939",3101
"1940",3098
"1941",3089
"1942",3086
"1943",3096
"1944",3093
"1945",1699
"1946",1624
"1947",1673
"1948",1645
"1949",1671
"1950",1688
"1951",1635
"1952",1649
"1953",866
"1954",945
"1955",954
"1956",890
"1957",956
"1958",940
"1959",905
"1960",922
"1961",952
"1962",887
"1963",923
"1964",874
"1965",944
"1966",886
"1967",951
"1968",931
"1969",1664
"1970",1663
"1971",1693
"1972",1652
"1973",1653
"1974",1657
"1975",1644
"1976",1689
"1977",1630
"1978",1670
"1979",1685
"1980",955
"1981",868
"1982",875
"1983",912
"1984",894
"1985",941
"1986",950
"1987",893
"1988",858
"1989",902
"1990",932
"1991",911
"1992",939
"1993",934
"1994",881
"1995",859
"1996",938
"1997",907
"1998",926
"1999",869
"2000",933
"2001",1705
"2002",1668
"2003",1654
"2004",1696
"2005",1713
"2006",1661
"2007",1681
"2008",1667
"2009",1702
"2010",1708
"2011",1641
"2012",1677
"2013",1676
"2014",1679
"2015",1623
"2016",1655
"2017",1658
"2018",1666
"2019",1636
"2020",1706
"2021",1625
"2022",1678
"2023",1656
"2024",1629
"2025",1672
"2026",1695
"2027",1665
"2028",1712
"2029",1659
"2030",1683
"2031",1692
"2032",1691
"2033",1626
"2034",1622
"2035",1680
"2036",1704
"2037",1639
"2038",1647
"2039",1631
"2040",1640
"2041",1707
"2042",1710
"2043",1690
"2044",1634
"2045",1674
"2046",2332
"2047",2393
"2048",2341
"2049",2391
"2050",1646
"2051",1642
"2052",852
"2053",830
"2054",773
"2055",802
"2056",822
"2057",798
"2058",1709
"2059",1648
"2060",1697
"2061",833
"2062",820
"2063",791
"2064",1684
"2065",1452
"2066",1523
"2067",876
"2068",1493
"2069",1451
"2070",1462
"2071",1480
"2072",1508
"2073",1489
"2074",1490
"2075",1514
"2076",782
"2077",848
"2078",759
"2079",1535
"2080",1554
"2081",1507
"2082",1470
"2083",1510
"2084",781
"2085",1547
"2086",1450
"2087",1501
"2088",1551
"2089",1505
"2090",1513
"2091",1518
"2092",1453
"2093",1536
"2094",1531
"2095",568
"2096",1506
"2097",1519
"2098",1558
"2099",1525
"2100",1475
"2101",1463
"2102",1459
"2103",1537
"2104",1494
"2105",1476
"2106",1517
"2107",1520
"2108",1464
"2109",1515
"2110",1502
"2111",1534
"2112",1512
"2113",1530
"2114",1486
"2115",1485
"2116",1541
"2117",1545
"2118",628
"2119",640
"2120",600
"2121",652
"2122",638
"2123",563
"2124",1465
"2125",1528
"2126",1543
"2127",1544
"2128",1499
"2129",1559
"2130",1477
"2131",1482
"2132",1556
"2133",1550
"2134",1496
"2135",1539
"2136",1511
"2137",1458
"2138",1549
"2139",1516
"2140",963
"2141",979
"2142",997
"2143",2442
"2144",1521
"2145",1552
"2146",1461
"2147",1560
"2148",1467
"2149",1540
"2150",143
"2151",1524
"2152",1495
"2153",107
"2154",115
"2155",114
"2156",150
"2157",120
"2158",93
"2159",110
"2160",98
"2161",138
"2162",116
"2163",101
"2164",144
"2165",121
"2166",1439
"2167",156
"2168",141
"2169",125
"2170",117
"2171",83
"2172",130
"2173",136
"2174",1381
"2175",1427
"2176",1435
"2177",1421
"2178",1436
"2179",1384
"2180",100
"2181",2473
"2182",2478
"2183",129
"2184",1484
"2185",1527
"2186",2417
"2187",2443
"2188",2432
"2189",2411
"2190",2421
"2191",2486
"2192",2460
"2193",1012
"2194",1001
"2195",1032
"2196",1029
"2197",1038
"2198",977
"2199",2434
"2200",2403
"2201",2433
"2202",2451
"2203",2406
"2204",2449
"2205",1369
"2206",2429
"2207",2418
"2208",1372
"2209",1414
"2210",1403
"2211",1425
"2212",1376
"2213",1445
"2214",1416
"2215",1375
"2216",1393
"2217",1412
"2218",1449
"2219",1395
"2220",1097
"2221",1141
"2222",84
"2223",1113
"2224",88
"2225",89
"2226",134
"2227",132
"2228",111
"2229",96
"2230",119
"2231",128
"2232",2591
"2233",2647
"2234",2523
"2235",2661
"2236",2672
"2237",2699
"2238",1122
"2239",2691
"2240",2692
"2241",2492
"2242",2663
"2243",2690
"2244",2581
"2245",2719
"2246",2521
"2247",2739
"2248",2701
"2249",2526
"2250",2490
"2251",2570
"2252",2644
"2253",2539
"2254",2503
"2255",2655
"2256",2562
"2257",2636
"2258",2687
"2259",2646
"2260",2725
"2261",2510
"2262",2515
